Density,Waiting Time,Frequency
0.30000000000000004,33,40
0.30000000000000004,34,27
0.30000000000000004,35,21
0.30000000000000004,36,27
0.30000000000000004,37,28
0.30000000000000004,38,25
0.30000000000000004,39,12
0.30000000000000004,40,24
0.30000000000000004,41,18
0.30000000000000004,42,18
0.30000000000000004,43,27
0.30000000000000004,44,25
0.30000000000000004,45,13
0.30000000000000004,46,10
0.30000000000000004,47,9
0.30000000000000004,48,9
0.30000000000000004,49,10
0.30000000000000004,50,13
0.30000000000000004,51,16
0.30000000000000004,52,12
0.30000000000000004,53,10
0.30000000000000004,54,7
0.30000000000000004,55,3
0.30000000000000004,56,7
0.30000000000000004,57,3
0.30000000000000004,58,4
0.30000000000000004,59,7
0.30000000000000004,60,6
0.30000000000000004,61,4
0.30000000000000004,62,7
0.30000000000000004,63,5
0.30000000000000004,64,4
0.30000000000000004,65,1
0.30000000000000004,66,5
0.30000000000000004,67,1
0.30000000000000004,68,2
0.30000000000000004,69,2
0.30000000000000004,70,3
0.30000000000000004,71,2
0.30000000000000004,72,2
0.30000000000000004,73,4
0.30000000000000004,74,1
0.30000000000000004,75,1
0.30000000000000004,76,3
0.30000000000000004,77,3
0.30000000000000004,78,2
0.30000000000000004,79,4
0.30000000000000004,80,3
0.30000000000000004,81,3
0.30000000000000004,82,1
0.30000000000000004,85,3
0.30000000000000004,87,3
0.30000000000000004,88,2
0.30000000000000004,89,5
0.30000000000000004,90,5
0.30000000000000004,91,4
0.30000000000000004,93,1
0.30000000000000004,94,3
0.30000000000000004,95,3
0.30000000000000004,96,2
0.30000000000000004,98,3
0.30000000000000004,99,3
0.30000000000000004,100,3
0.4,1,303
0.4,2,252
0.4,3,225
0.4,4,195
0.4,5,200
0.4,6,223
0.4,7,202
0.4,8,184
0.4,9,184
0.4,10,169
0.4,11,159
0.4,12,162
0.4,13,153
0.4,14,147
0.4,15,118
0.4,16,121
0.4,17,112
0.4,18,109
0.4,19,102
0.4,20,75
0.4,21,80
0.4,22,85
0.4,23,74
0.4,24,74
0.4,25,71
0.4,26,52
0.4,27,43
0.4,28,32
0.4,29,36
0.4,30,33
0.4,31,31
0.4,32,28
0.4,33,25
0.4,34,23
0.4,35,34
0.4,36,23
0.4,37,28
0.4,38,13
0.4,39,13
0.4,40,12
0.4,41,25
0.4,42,23
0.4,43,16
0.4,44,8
0.4,45,12
0.4,46,6
0.4,47,12
0.4,48,11
0.4,49,11
0.4,50,4
0.4,51,5
0.4,52,4
0.4,53,4
0.4,54,2
0.4,55,5
0.4,56,3
0.4,57,4
0.4,58,6
0.4,59,2
0.4,60,6
0.4,61,4
0.4,62,3
0.4,63,3
0.4,64,6
0.4,65,3
0.4,66,1
0.4,67,2
0.4,69,3
0.4,70,4
0.4,71,1
0.4,73,1
0.4,75,3
0.4,76,1
0.4,78,2
0.4,80,1
0.4,82,1
0.4,83,3
0.4,85,3
0.4,86,1
0.4,87,1
0.4,88,5
0.4,89,2
0.4,90,1
0.4,91,2
0.4,92,6
0.4,93,2
0.4,94,5
0.4,96,4
0.4,97,1
0.4,98,2
0.4,99,1
0.4,100,2
0.5,1,387
0.5,2,273
0.5,3,270
0.5,4,239
0.5,5,234
0.5,6,240
0.5,7,206
0.5,8,218
0.5,9,210
0.5,10,193
0.5,11,179
0.5,12,146
0.5,13,165
0.5,14,150
0.5,15,130
0.5,16,123
0.5,17,93
0.5,18,74
0.5,19,68
0.5,20,57
0.5,21,60
0.5,22,54
0.5,23,46
0.5,24,38
0.5,25,42
0.5,26,42
0.5,27,38
0.5,28,25
0.5,29,16
0.5,30,28
0.5,31,23
0.5,32,22
0.5,33,26
0.5,34,15
0.5,35,26
0.5,36,17
0.5,37,10
0.5,38,13
0.5,39,9
0.5,40,14
0.5,41,12
0.5,42,17
0.5,43,8
0.5,44,15
0.5,45,8
0.5,46,7
0.5,47,10
0.5,48,5
0.5,49,10
0.5,50,7
0.5,51,13
0.5,52,4
0.5,53,5
0.5,54,7
0.5,56,1
0.5,57,5
0.5,58,2
0.5,59,1
0.5,61,2
0.5,62,2
0.5,64,3
0.5,65,3
0.5,66,3
0.5,67,3
0.5,68,6
0.5,69,1
0.5,70,2
0.5,71,3
0.5,72,4
0.5,73,4
0.5,74,2
0.5,76,1
0.5,77,3
0.5,78,4
0.5,79,1
0.5,80,3
0.5,82,2
0.5,83,3
0.5,84,3
0.5,85,5
0.5,86,6
0.5,87,2
0.5,90,4
0.5,91,3
0.5,92,3
0.5,94,2
0.5,95,3
0.5,96,2
0.5,97,1
0.5,98,2
0.5,99,1
0.5,100,1
0.6000000000000001,1,405
0.6000000000000001,2,262
0.6000000000000001,3,246
0.6000000000000001,4,251
0.6000000000000001,5,265
0.6000000000000001,6,273
0.6000000000000001,7,246
0.6000000000000001,8,217
0.6000000000000001,9,210
0.6000000000000001,10,184
0.6000000000000001,11,175
0.6000000000000001,12,164
0.6000000000000001,13,148
0.6000000000000001,14,132
0.6000000000000001,15,114
0.6000000000000001,16,113
0.6000000000000001,17,78
0.6000000000000001,18,76
0.6000000000000001,19,73
0.6000000000000001,20,76
0.6000000000000001,21,65
0.6000000000000001,22,62
0.6000000000000001,23,68
0.6000000000000001,24,51
0.6000000000000001,25,34
0.6000000000000001,26,35
0.6000000000000001,27,38
0.6000000000000001,28,42
0.6000000000000001,29,33
0.6000000000000001,30,17
0.6000000000000001,31,32
0.6000000000000001,32,23
0.6000000000000001,33,15
0.6000000000000001,34,14
0.6000000000000001,35,24
0.6000000000000001,36,13
0.6000000000000001,37,18
0.6000000000000001,38,11
0.6000000000000001,39,11
0.6000000000000001,40,11
0.6000000000000001,41,7
0.6000000000000001,42,10
0.6000000000000001,43,11
0.6000000000000001,44,10
0.6000000000000001,45,11
0.6000000000000001,46,6
0.6000000000000001,47,6
0.6000000000000001,48,7
0.6000000000000001,49,8
0.6000000000000001,50,6
0.6000000000000001,51,13
0.6000000000000001,52,7
0.6000000000000001,53,2
0.6000000000000001,54,6
0.6000000000000001,55,10
0.6000000000000001,56,5
0.6000000000000001,57,2
0.6000000000000001,58,4
0.6000000000000001,59,2
0.6000000000000001,60,3
0.6000000000000001,62,4
0.6000000000000001,63,4
0.6000000000000001,64,4
0.6000000000000001,65,2
0.6000000000000001,66,3
0.6000000000000001,67,3
0.6000000000000001,68,2
0.6000000000000001,69,2
