Density,Travel Time,Frequency
0.787878787878788,0,834
0.787878787878788,21,3
0.787878787878788,23,2
0.787878787878788,27,4
0.787878787878788,38,1
0.787878787878788,42,1
0.787878787878788,43,2
0.787878787878788,45,2
0.787878787878788,46,2
0.787878787878788,47,1
0.787878787878788,48,1
0.787878787878788,49,2
0.787878787878788,51,2
0.787878787878788,52,4
0.787878787878788,54,2
0.787878787878788,55,1
0.787878787878788,56,1
0.787878787878788,58,1
0.787878787878788,4961,8
0.787878787878788,4963,6
0.787878787878788,4964,5
0.787878787878788,4965,1
0.787878787878788,4968,10
0.787878787878788,4978,2
0.787878787878788,4980,5
0.787878787878788,4981,5
0.787878787878788,4982,7
0.787878787878788,4983,9
0.787878787878788,4984,3
0.787878787878788,4985,5
0.787878787878788,4986,4
0.787878787878788,4987,4
0.787878787878788,4988,4
0.787878787878788,4989,5
0.787878787878788,4990,4
0.787878787878788,4991,1
0.787878787878788,4992,5
0.787878787878788,4993,5
0.787878787878788,4994,5
0.787878787878788,4995,2
0.787878787878788,4996,6
0.787878787878788,4997,5
0.787878787878788,4998,2
0.787878787878788,4999,9
0.787878787878788,5000,7
