Density,Waiting Time,Frequency
0.27272727272727276,1,50
0.27272727272727276,2,1
0.27272727272727276,4968,1
0.27272727272727276,4969,1
0.27272727272727276,4970,1
0.27272727272727276,4971,2
0.27272727272727276,4972,3
0.27272727272727276,4973,3
0.27272727272727276,4974,8
0.27272727272727276,4975,8
0.27272727272727276,4976,6
0.27272727272727276,4977,6
0.27272727272727276,4978,10
0.27272727272727276,4979,17
0.27272727272727276,4980,15
0.27272727272727276,4981,19
0.27272727272727276,4982,21
0.27272727272727276,4983,38
0.27272727272727276,4984,40
0.27272727272727276,4985,39
0.27272727272727276,4986,43
0.27272727272727276,4987,42
0.27272727272727276,4988,45
0.27272727272727276,4989,54
0.27272727272727276,4990,44
0.27272727272727276,4991,47
0.27272727272727276,4992,45
0.27272727272727276,4993,44
0.27272727272727276,4994,63
0.27272727272727276,4995,51
0.27272727272727276,4996,46
0.27272727272727276,4997,53
0.27272727272727276,4998,58
0.27272727272727276,4999,38
0.27272727272727276,5000,38
