Density,Travel Time,Frequency
0.9797979797979799,0,847
0.9797979797979799,13,4
0.9797979797979799,18,1
0.9797979797979799,20,3
0.9797979797979799,21,1
0.9797979797979799,22,2
0.9797979797979799,23,1
0.9797979797979799,24,1
0.9797979797979799,27,1
0.9797979797979799,29,1
0.9797979797979799,30,2
0.9797979797979799,31,1
0.9797979797979799,32,1
0.9797979797979799,33,1
0.9797979797979799,34,1
0.9797979797979799,36,2
0.9797979797979799,37,1
0.9797979797979799,38,2
0.9797979797979799,39,1
0.9797979797979799,40,1
0.9797979797979799,43,1
0.9797979797979799,4973,9
0.9797979797979799,4976,5
0.9797979797979799,4978,6
0.9797979797979799,4979,1
0.9797979797979799,4980,3
0.9797979797979799,4981,3
0.9797979797979799,4982,1
0.9797979797979799,4983,2
0.9797979797979799,4984,3
0.9797979797979799,4985,9
0.9797979797979799,4986,3
0.9797979797979799,4987,2
0.9797979797979799,4988,5
0.9797979797979799,4989,2
0.9797979797979799,4990,3
0.9797979797979799,4991,12
0.9797979797979799,4992,2
0.9797979797979799,4993,9
0.9797979797979799,4994,1
0.9797979797979799,4995,14
0.9797979797979799,4996,1
0.9797979797979799,4997,7
0.9797979797979799,4998,8
0.9797979797979799,4999,6
0.9797979797979799,5000,7
