Density,Waiting Time,Frequency
0.21212121212121213,1,41
0.21212121212121213,2,5
0.21212121212121213,4,1
0.21212121212121213,5,1
0.21212121212121213,12,1
0.21212121212121213,15,1
0.21212121212121213,16,1
0.21212121212121213,17,1
0.21212121212121213,19,1
0.21212121212121213,21,1
0.21212121212121213,23,1
0.21212121212121213,25,1
0.21212121212121213,4970,1
0.21212121212121213,4971,3
0.21212121212121213,4973,2
0.21212121212121213,4974,3
0.21212121212121213,4975,4
0.21212121212121213,4976,10
0.21212121212121213,4977,8
0.21212121212121213,4978,10
0.21212121212121213,4979,16
0.21212121212121213,4980,17
0.21212121212121213,4981,23
0.21212121212121213,4982,28
0.21212121212121213,4983,27
0.21212121212121213,4984,32
0.21212121212121213,4985,43
0.21212121212121213,4986,52
0.21212121212121213,4987,45
0.21212121212121213,4988,54
0.21212121212121213,4989,45
0.21212121212121213,4990,41
0.21212121212121213,4991,47
0.21212121212121213,4992,49
0.21212121212121213,4993,51
0.21212121212121213,4994,49
0.21212121212121213,4995,47
0.21212121212121213,4996,48
0.21212121212121213,4997,46
0.21212121212121213,4998,51
0.21212121212121213,4999,47
0.21212121212121213,5000,45
