Density,Travel Time,Frequency
0.98989898989899,0,745
0.98989898989899,3,3
0.98989898989899,5,10
0.98989898989899,7,1
0.98989898989899,9,1
0.98989898989899,10,1
0.98989898989899,11,1
0.98989898989899,12,1
0.98989898989899,13,1
0.98989898989899,14,2
0.98989898989899,17,4
0.98989898989899,18,3
0.98989898989899,19,9
0.98989898989899,20,3
0.98989898989899,21,1
0.98989898989899,22,3
0.98989898989899,23,2
0.98989898989899,24,4
0.98989898989899,26,1
0.98989898989899,28,5
0.98989898989899,29,1
0.98989898989899,30,1
0.98989898989899,31,1
0.98989898989899,32,4
0.98989898989899,35,1
0.98989898989899,37,1
0.98989898989899,4977,5
0.98989898989899,4979,1
0.98989898989899,4982,1
0.98989898989899,4983,1
0.98989898989899,4984,12
0.98989898989899,4985,12
0.98989898989899,4986,9
0.98989898989899,4987,16
0.98989898989899,4988,8
0.98989898989899,4989,5
0.98989898989899,4990,16
0.98989898989899,4991,9
0.98989898989899,4992,9
0.98989898989899,4993,8
0.98989898989899,4994,13
0.98989898989899,4995,9
0.98989898989899,4996,17
0.98989898989899,4997,7
0.98989898989899,4998,12
0.98989898989899,4999,10
0.98989898989899,5000,10
