Density,Travel Time,Frequency
0.9494949494949496,0,827
0.9494949494949496,8,2
0.9494949494949496,9,5
0.9494949494949496,11,4
0.9494949494949496,16,1
0.9494949494949496,20,1
0.9494949494949496,21,1
0.9494949494949496,22,1
0.9494949494949496,23,3
0.9494949494949496,24,8
0.9494949494949496,25,2
0.9494949494949496,26,2
0.9494949494949496,27,1
0.9494949494949496,28,3
0.9494949494949496,29,2
0.9494949494949496,30,4
0.9494949494949496,31,1
0.9494949494949496,32,4
0.9494949494949496,34,4
0.9494949494949496,36,1
0.9494949494949496,40,1
0.9494949494949496,42,1
0.9494949494949496,43,1
0.9494949494949496,48,1
0.9494949494949496,49,1
0.9494949494949496,51,2
0.9494949494949496,4966,1
0.9494949494949496,4971,1
0.9494949494949496,4974,1
0.9494949494949496,4975,10
0.9494949494949496,4976,1
0.9494949494949496,4977,11
0.9494949494949496,4978,2
0.9494949494949496,4979,1
0.9494949494949496,4981,1
0.9494949494949496,4982,1
0.9494949494949496,4983,2
0.9494949494949496,4984,2
0.9494949494949496,4985,7
0.9494949494949496,4986,1
0.9494949494949496,4987,3
0.9494949494949496,4988,2
0.9494949494949496,4989,3
0.9494949494949496,4990,3
0.9494949494949496,4991,9
0.9494949494949496,4992,5
0.9494949494949496,4993,9
0.9494949494949496,4994,4
0.9494949494949496,4995,6
0.9494949494949496,4996,5
0.9494949494949496,4997,15
0.9494949494949496,4998,1
0.9494949494949496,4999,5
0.9494949494949496,5000,4
