Density,Waiting Time,Frequency
0.8787878787878789,1,94
0.8787878787878789,2,5
0.8787878787878789,3,4
0.8787878787878789,4,4
0.8787878787878789,5,3
0.8787878787878789,6,3
0.8787878787878789,7,2
0.8787878787878789,8,2
0.8787878787878789,10,2
0.8787878787878789,11,1
0.8787878787878789,13,3
0.8787878787878789,14,1
0.8787878787878789,15,3
0.8787878787878789,16,4
0.8787878787878789,17,3
0.8787878787878789,18,3
0.8787878787878789,19,1
0.8787878787878789,20,3
0.8787878787878789,21,2
0.8787878787878789,22,2
0.8787878787878789,27,1
0.8787878787878789,31,1
0.8787878787878789,4967,1
0.8787878787878789,4970,1
0.8787878787878789,4971,3
0.8787878787878789,4972,4
0.8787878787878789,4973,3
0.8787878787878789,4974,3
0.8787878787878789,4975,7
0.8787878787878789,4976,9
0.8787878787878789,4977,10
0.8787878787878789,4978,17
0.8787878787878789,4979,17
0.8787878787878789,4980,25
0.8787878787878789,4981,25
0.8787878787878789,4982,32
0.8787878787878789,4983,33
0.8787878787878789,4984,28
0.8787878787878789,4985,36
0.8787878787878789,4986,40
0.8787878787878789,4987,47
0.8787878787878789,4988,45
0.8787878787878789,4989,43
0.8787878787878789,4990,37
0.8787878787878789,4991,41
0.8787878787878789,4992,48
0.8787878787878789,4993,37
0.8787878787878789,4994,47
0.8787878787878789,4995,44
0.8787878787878789,4996,36
0.8787878787878789,4997,33
0.8787878787878789,4998,34
0.8787878787878789,4999,35
0.8787878787878789,5000,32
