Timestep,Throughput
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,3
17,3
18,3
19,3
20,3
21,4
22,4
23,4
24,4
25,5
26,5
27,5
28,5
29,5
30,5
31,6
32,7
33,7
34,7
35,8
36,8
37,8
38,8
39,8
40,8
41,9
42,10
43,10
44,10
45,11
46,11
47,11
48,11
49,11
50,11
51,12
52,13
53,13
54,13
55,14
56,14
57,14
58,14
59,14
60,14
61,15
62,16
63,16
64,16
65,17
66,17
67,17
68,17
69,17
70,17
71,17
72,18
73,18
74,18
75,19
76,19
77,19
78,19
79,19
80,19
81,19
82,20
83,20
84,20
85,21
86,21
87,21
88,21
89,21
90,21
91,21
92,21
93,21
94,21
95,22
96,22
97,22
98,22
99,22
100,22
101,23
102,23
103,23
104,23
105,24
106,24
107,24
108,24
109,24
110,26
111,27
112,27
113,27
114,27
115,28
116,28
117,28
118,28
119,28
120,30
121,33
122,34
123,34
124,34
125,35
126,35
127,35
128,35
129,35
130,37
131,40
132,41
133,41
134,41
135,41
136,41
137,41
138,41
139,41
140,43
141,46
142,47
143,47
144,47
145,47
146,47
147,47
148,47
149,47
150,49
151,51
152,52
153,52
154,52
155,52
156,52
157,52
158,52
159,52
160,54
161,56
162,57
163,57
164,57
165,57
166,57
167,57
168,57
169,57
170,59
171,61
172,61
173,61
174,62
175,62
176,63
177,63
178,63
179,63
180,65
181,67
182,67
183,67
184,68
185,68
186,68
187,68
188,68
189,68
190,70
191,72
192,72
193,72
194,73
195,73
196,73
197,73
198,73
199,73
200,75
201,77
202,77
203,77
204,78
205,79
206,79
207,79
208,79
209,79
210,81
211,83
212,83
213,83
214,84
215,85
216,85
217,85
218,85
219,85
220,87
221,89
222,89
223,89
224,90
225,91
226,92
227,92
228,92
229,92
230,93
231,95
232,95
233,95
234,96
235,97
236,98
237,98
238,98
239,98
240,99
241,101
242,101
243,101
244,101
245,102
246,103
247,103
248,103
249,103
250,104
251,106
252,106
253,106
254,106
255,107
256,108
257,108
258,108
259,108
260,109
261,111
262,111
263,111
264,111
265,112
266,113
267,113
268,113
269,113
270,114
271,116
272,116
273,116
274,116
275,117
276,118
277,118
278,118
279,118
280,119
281,121
282,121
283,121
284,121
285,122
286,123
287,123
288,123
289,123
290,124
291,125
292,125
293,125
294,125
295,126
296,127
297,127
298,127
299,127
300,127
301,128
302,128
303,128
304,128
305,129
306,130
307,130
308,130
309,130
310,130
311,131
312,131
313,131
314,131
315,132
316,133
317,133
318,133
319,133
320,133
321,134
322,134
323,134
324,134
325,135
326,136
327,136
328,136
329,136
330,136
331,137
332,137
333,137
334,137
335,138
336,139
337,139
338,139
339,139
340,139
341,140
342,140
343,140
344,140
345,140
346,141
347,141
348,141
349,141
350,141
351,142
352,142
353,142
354,142
355,142
356,143
357,143
358,143
359,143
360,143
361,144
362,144
363,144
364,144
365,144
366,146
367,146
368,146
369,146
370,146
371,146
372,146
373,146
374,146
375,146
376,149
377,149
378,149
379,149
380,149
381,149
382,149
383,149
384,149
385,149
386,152
387,152
388,152
389,152
390,152
391,152
392,152
393,152
394,152
395,152
396,156
397,156
398,156
399,156
400,156
401,156
402,156
403,156
404,156
405,156
406,159
407,159
408,159
409,159
410,159
411,159
412,159
413,159
414,159
415,159
416,160
417,160
418,160
419,160
420,161
421,161
422,161
423,161
424,161
425,162
426,163
427,163
428,163
429,163
430,163
431,163
432,163
433,164
434,164
435,165
436,168
437,168
438,168
439,168
440,168
441,168
442,168
443,169
444,169
445,170
446,173
447,173
448,173
449,173
450,173
451,173
452,173
453,174
454,174
455,174
456,177
457,177
458,177
459,177
460,177
461,177
462,177
463,178
464,178
465,178
466,181
467,181
468,181
469,181
470,181
471,181
472,181
473,182
474,182
475,182
476,185
477,185
478,185
479,185
480,185
481,185
482,185
483,186
484,186
485,186
486,188
487,188
488,188
489,188
490,188
491,188
492,189
493,190
494,190
495,190
496,192
497,192
498,192
499,192
500,192
501,192
502,193
503,194
504,194
505,194
506,195
507,195
508,195
509,195
510,195
511,195
512,196
513,197
514,197
515,197
516,198
517,198
518,198
519,198
520,198
521,198
522,199
523,200
524,200
525,200
526,201
527,201
528,201
529,201
530,201
531,201
532,202
533,203
534,203
535,203
536,204
537,204
538,204
539,204
540,204
541,204
542,205
543,206
544,206
545,206
546,207
547,207
548,207
549,207
550,207
551,207
552,207
553,209
554,209
555,209
556,210
557,210
558,210
559,210
560,210
561,210
562,210
563,212
564,212
565,212
566,212
567,212
568,212
569,212
570,212
571,212
572,212
573,212
574,212
575,212
576,212
577,212
578,212
579,212
580,212
581,212
582,212
583,212
584,212
585,212
586,212
587,212
588,212
589,212
590,212
591,212
592,212
593,212
594,212
595,212
596,212
597,212
598,212
599,212
600,212
