Density,Throughput
0.0,0.0
0.1111111111111111,0.01
0.2222222222222222,0.08
0.3333333333333333,0.24
0.4444444444444444,0.04
0.5555555555555556,0.17
0.6666666666666666,0.33
0.7777777777777777,0.05
0.8888888888888888,0.21
1.0,0.47
