Timestep,Road_number,Vehicle_density,Vehicles_Exiting
40,5,0.3,0
40,6,0.16,0
40,7,0.1,0
41,1,0.32,1
41,2,0.32,2
41,3,0.32,1
41,4,1.0,1
41,5,0.32,0
41,6,0.18,0
41,7,0.12,0
42,1,0.32,1
42,2,0.32,0
42,3,0.32,1
42,4,1.2,0
42,5,0.32,0
42,6,0.2,0
42,7,0.12,0
43,1,0.32,1
43,2,0.32,1
43,3,0.32,1
43,4,1.6,2
43,5,0.32,0
43,6,0.2,0
43,7,0.12,0
44,1,0.32,0
44,2,0.32,1
44,3,0.32,0
44,4,1.8,2
44,5,0.34,0
44,6,0.22,0
44,7,0.12,0
45,1,0.32,0
45,2,0.32,0
45,3,0.32,2
45,4,1.2,1
45,5,0.36,0
45,6,0.22,0
45,7,0.14,0
46,1,0.32,1
46,2,0.32,0
46,3,0.32,0
46,4,1.2,2
46,5,0.38,0
46,6,0.22,0
46,7,0.14,0
47,1,0.32,2
47,2,0.32,1
47,3,0.32,1
47,4,0.6,1
47,5,0.38,0
47,6,0.24,0
47,7,0.16,0
48,1,0.34,1
48,2,0.32,0
48,3,0.32,1
48,4,1.2,0
48,5,0.4,0
48,6,0.24,0
48,7,0.16,0
49,1,0.34,1
49,2,0.32,0
49,3,0.32,3
49,4,1.6,1
49,5,0.4,0
49,6,0.24,0
49,7,0.16,0
50,1,0.34,0
50,2,0.32,2
50,3,0.32,0
50,4,2.2,0
50,5,0.42,0
50,6,0.24,0
50,7,0.16,0
51,1,0.34,1
51,2,0.34,1
51,3,0.34,2
51,4,2.6,2
51,5,0.42,0
51,6,0.24,0
51,7,0.16,0
52,1,0.34,0
52,2,0.34,0
52,3,0.34,2
52,4,2.8,3
52,5,0.42,0
52,6,0.26,0
52,7,0.18,0
53,1,0.34,1
53,2,0.36,0
53,3,0.34,1
53,4,2.2,1
53,5,0.44,0
53,6,0.28,0
53,7,0.2,0
54,1,0.34,2
54,2,0.36,0
54,3,0.36,1
54,4,2.2,1
54,5,0.46,0
54,6,0.28,0
54,7,0.2,0
55,1,0.34,1
55,2,0.36,3
55,3,0.36,0
55,4,2.2,1
55,5,0.46,0
55,6,0.3,0
55,7,0.2,0
56,1,0.34,0
56,2,0.38,2
56,3,0.38,1
56,4,2.6,1
56,5,0.48,0
56,6,0.3,0
56,7,0.2,0
57,1,0.34,0
57,2,0.38,0
57,3,0.38,2
57,4,2.8,2
57,5,0.48,0
57,6,0.3,0
57,7,0.22,0
58,1,0.34,1
58,2,0.38,2
58,3,0.38,0
58,4,2.4,3
58,5,0.5,0
58,6,0.32,0
58,7,0.22,0
59,1,0.34,2
59,2,0.4,1
59,3,0.38,1
59,4,1.8,1
59,5,0.52,0
59,6,0.34,0
59,7,0.24,0
60,1,0.34,1
60,2,0.4,0
60,3,0.4,1
60,4,2.2,2
60,5,0.52,0
60,6,0.36,0
60,7,0.24,0
61,1,0.34,2
61,2,0.4,2
61,3,0.4,1
61,4,2.2,1
61,5,0.52,0
61,6,0.38,0
61,7,0.26,0
62,1,0.34,0
62,2,0.4,3
62,3,0.42,0
62,4,2.6,2
62,5,0.52,0
62,6,0.38,0
62,7,0.28,0
63,1,0.34,1
63,2,0.4,1
63,3,0.42,0
63,4,2.4,2
63,5,0.52,0
63,6,0.4,0
63,7,0.3,0
64,1,0.34,0
64,2,0.4,0
64,3,0.42,2
64,4,2.2,0
64,5,0.52,0
64,6,0.42,0
64,7,0.32,0
65,1,0.34,0
65,2,0.4,0
65,3,0.42,2
65,4,2.6,1
65,5,0.52,0
65,6,0.42,0
65,7,0.32,0
66,1,0.34,0
66,2,0.4,2
66,3,0.42,1
66,4,2.8,1
66,5,0.52,0
66,6,0.44,0
66,7,0.32,0
67,1,0.36,0
67,2,0.4,1
67,3,0.42,1
67,4,3.0,2
67,5,0.52,0
67,6,0.44,0
67,7,0.34,0
68,1,0.36,0
68,2,0.4,0
68,3,0.44,3
68,4,2.6,3
68,5,0.54,0
68,6,0.44,0
68,7,0.36,0
69,1,0.36,0
69,2,0.42,1
69,3,0.44,1
69,4,2.2,1
69,5,0.56,0
69,6,0.46,0
69,7,0.38,0
70,1,0.38,1
70,2,0.42,0
70,3,0.44,1
70,4,2.4,1
70,5,0.56,0
70,6,0.46,0
70,7,0.4,0
71,1,0.38,1
71,2,0.42,1
71,3,0.44,0
71,4,2.4,1
71,5,0.58,0
71,6,0.46,0
71,7,0.4,0
72,1,0.38,0
72,2,0.42,2
72,3,0.44,2
72,4,2.6,2
72,5,0.6,0
72,6,0.46,0
72,7,0.4,0
73,1,0.38,0
73,2,0.42,1
73,3,0.44,0
73,4,2.8,1
73,5,0.62,0
73,6,0.48,0
73,7,0.4,0
74,1,0.38,3
74,2,0.42,0
74,3,0.44,1
74,4,2.8,2
74,5,0.64,0
74,6,0.48,0
74,7,0.4,0
75,1,0.4,0
75,2,0.42,2
75,3,0.44,1
75,4,3.0,0
75,5,0.64,0
75,6,0.5,0
75,7,0.42,0
76,1,0.4,0
76,2,0.42,2
76,3,0.44,0
76,4,3.6,0
76,5,0.64,0
76,6,0.5,0
76,7,0.42,0
77,1,0.42,1
77,2,0.42,0
77,3,0.44,1
77,4,4.0,1
77,5,0.64,0
77,6,0.5,0
77,7,0.42,0
78,1,0.42,1
78,2,0.42,0
78,3,0.46,1
78,4,3.6,1
78,5,0.64,0
78,6,0.52,0
78,7,0.42,0
79,1,0.42,1
79,2,0.42,0
79,3,0.46,1
79,4,3.4,0
79,5,0.64,0
79,6,0.54,0
79,7,0.42,0
80,1,0.42,2
80,2,0.42,2
80,3,0.46,1
80,4,3.8,3
80,5,0.64,0
80,6,0.54,0
80,7,0.42,0
81,1,0.42,0
81,2,0.42,1
81,3,0.46,1
81,4,3.6,1
81,5,0.66,0
81,6,0.56,0
81,7,0.44,0
82,1,0.44,0
82,2,0.42,1
82,3,0.46,0
82,4,3.4,1
82,5,0.66,0
82,6,0.58,0
82,7,0.44,0
83,1,0.44,2
83,2,0.42,1
83,3,0.46,1
83,4,3.2,2
83,5,0.66,0
83,6,0.58,0
83,7,0.46,0
84,1,0.46,0
84,2,0.42,1
84,3,0.46,1
84,4,3.6,0
84,5,0.66,0
84,6,0.6,0
84,7,0.48,0
85,1,0.46,1
85,2,0.42,0
85,3,0.46,1
85,4,4.0,0
85,5,0.66,0
85,6,0.6,0
85,7,0.48,0
86,1,0.46,0
86,2,0.42,2
86,3,0.46,2
86,4,4.4,1
86,5,0.66,0
86,6,0.6,0
86,7,0.48,0
87,1,0.48,1
87,2,0.42,0
87,3,0.48,0
87,4,4.6,0
87,5,0.66,0
87,6,0.62,0
87,7,0.48,0
88,1,0.48,1
88,2,0.44,0
88,3,0.48,2
88,4,4.8,0
88,5,0.66,0
88,6,0.62,0
88,7,0.48,0
89,1,0.48,1
89,2,0.44,1
89,3,0.5,3
89,4,5.4,0
89,5,0.66,0
89,6,0.62,0
89,7,0.48,0
90,1,0.5,1
90,2,0.44,2
90,3,0.5,0
90,4,6.4,1
90,5,0.66,0
90,6,0.62,0
90,7,0.48,0
91,1,0.5,1
91,2,0.46,1
91,3,0.5,0
91,4,6.2,1
91,5,0.66,0
91,6,0.62,0
91,7,0.5,0
92,1,0.5,0
92,2,0.46,0
92,3,0.52,2
92,4,5.8,3
92,5,0.66,0
92,6,0.64,0
92,7,0.5,0
93,1,0.5,2
93,2,0.46,1
93,3,0.52,1
93,4,4.6,1
93,5,0.68,0
93,6,0.66,0
93,7,0.52,0
94,1,0.5,1
94,2,0.46,2
94,3,0.52,0
94,4,4.8,0
94,5,0.7,0
94,6,0.66,0
94,7,0.52,0
95,1,0.52,2
95,2,0.46,0
95,3,0.54,2
95,4,5.4,2
95,5,0.7,0
95,6,0.66,0
95,7,0.52,0
96,1,0.52,0
96,2,0.46,1
96,3,0.54,1
96,4,4.8,1
96,5,0.7,0
96,6,0.68,0
96,7,0.54,0
97,1,0.54,0
97,2,0.46,1
97,3,0.54,3
97,4,5.0,3
97,5,0.7,0
97,6,0.68,0
97,7,0.56,0
98,1,0.54,1
98,2,0.46,0
98,3,0.54,2
98,4,4.6,1
98,5,0.72,0
98,6,0.7,0
98,7,0.58,0
99,1,0.54,2
99,2,0.48,2
99,3,0.56,0
99,4,4.4,3
99,5,0.72,0
99,6,0.7,0
99,7,0.6,0
100,1,0.56,0
100,2,0.5,1
100,3,0.56,0
100,4,4.4,1
100,5,0.74,0
100,6,0.72,0
100,7,0.62,0
101,1,0.56,1
101,2,0.5,4
101,3,0.56,1
101,4,3.8,2
101,5,0.74,0
101,6,0.72,0
101,7,0.64,0
102,1,0.56,2
102,2,0.5,1
102,3,0.56,0
102,4,4.4,2
102,5,0.74,0
102,6,0.74,0
102,7,0.66,0
103,1,0.56,2
103,2,0.5,0
103,3,0.58,2
103,4,4.0,0
103,5,0.76,0
103,6,0.74,0
103,7,0.68,0
104,1,0.56,0
104,2,0.5,1
104,3,0.58,1
104,4,4.8,0
104,5,0.76,0
104,6,0.74,0
104,7,0.68,0
105,1,0.56,0
105,2,0.5,1
105,3,0.58,2
105,4,5.2,1
105,5,0.76,0
105,6,0.74,0
105,7,0.68,0
106,1,0.56,1
106,2,0.5,2
106,3,0.58,1
106,4,5.0,3
106,5,0.76,0
106,6,0.76,0
106,7,0.68,0
107,1,0.56,2
107,2,0.5,0
107,3,0.58,1
107,4,4.0,0
107,5,0.78,0
107,6,0.78,0
107,7,0.7,0
108,1,0.56,1
108,2,0.52,2
108,3,0.6,1
108,4,4.6,1
108,5,0.78,0
108,6,0.78,0
108,7,0.7,0
109,1,0.56,1
109,2,0.52,1
109,3,0.6,0
109,4,4.8,1
109,5,0.78,0
109,6,0.78,0
109,7,0.72,0
110,1,0.56,0
110,2,0.52,0
110,3,0.6,1
110,4,5.0,1
110,5,0.8,0
110,6,0.78,0
110,7,0.72,0
111,1,0.56,0
111,2,0.52,1
111,3,0.6,1
111,4,4.8,2
111,5,0.8,0
111,6,0.8,0
111,7,0.72,0
112,1,0.58,2
112,2,0.52,1
112,3,0.6,0
112,4,4.4,3
112,5,0.82,0
112,6,0.8,0
112,7,0.74,0
113,1,0.58,0
113,2,0.54,3
113,3,0.6,0
113,4,3.6,0
113,5,0.84,0
113,6,0.82,0
113,7,0.76,0
114,1,0.58,1
114,2,0.54,1
