Timestep,Throughput
1,1
2,1
3,1
4,1
5,1
6,2
7,3
8,3
9,3
10,3
11,4
12,4
13,4
14,5
15,5
16,6
17,7
18,8
19,8
20,8
21,9
22,9
23,9
24,10
25,10
26,10
27,11
28,11
29,11
30,11
31,12
32,12
33,12
34,13
35,13
36,13
37,14
38,14
39,14
40,14
41,15
42,15
43,15
44,16
45,16
46,16
47,18
48,18
49,18
50,18
51,19
52,19
53,19
54,20
55,20
56,20
57,22
58,22
59,22
60,22
61,23
62,23
63,23
64,24
65,24
66,24
67,26
68,26
69,26
70,26
71,27
72,27
73,27
74,28
75,28
76,28
77,29
78,29
79,29
80,29
81,30
82,30
83,30
84,31
85,31
86,31
87,32
88,32
89,32
90,32
91,33
92,33
93,33
94,34
95,34
96,34
97,35
98,35
99,35
100,35
101,36
102,36
103,36
104,37
105,37
106,37
107,38
108,38
109,38
110,38
111,39
112,39
113,39
114,39
115,39
116,39
117,39
118,39
119,39
120,39
121,40
122,40
123,40
124,40
125,40
126,40
127,40
128,40
129,40
130,40
131,41
132,41
133,41
134,41
135,41
136,41
137,41
138,42
139,42
140,43
141,44
142,44
143,44
144,44
145,44
146,44
147,44
148,45
149,45
150,46
151,47
152,47
153,48
154,48
155,48
156,48
157,48
158,49
159,49
160,50
161,51
162,51
163,52
164,52
165,52
166,52
167,52
168,53
169,53
170,54
171,55
172,55
173,56
174,56
175,56
176,56
177,56
178,58
179,58
180,59
181,60
182,60
183,61
184,61
185,61
186,61
187,61
188,62
189,62
190,63
191,64
192,64
193,65
194,65
195,65
196,65
197,65
198,66
199,66
200,67
201,68
202,68
203,69
204,69
205,69
206,69
207,69
208,70
209,70
210,71
211,72
212,72
213,73
214,73
215,73
216,73
217,73
218,74
219,74
220,75
221,76
222,76
223,77
224,77
225,77
226,77
227,77
228,77
229,77
230,78
231,79
232,79
233,80
234,80
235,80
236,81
237,81
238,81
239,81
240,83
241,84
242,84
243,85
244,85
245,85
246,86
247,86
248,87
249,87
250,89
251,89
252,89
253,90
254,90
255,90
256,91
257,91
258,92
259,92
260,94
261,94
262,94
263,94
264,94
265,94
266,95
267,95
268,96
269,96
270,98
271,98
272,98
273,98
274,98
275,98
276,99
277,99
278,100
279,100
280,102
281,102
282,102
283,102
284,102
285,102
286,103
287,103
288,104
289,104
290,106
291,106
292,106
293,106
294,106
295,106
296,107
297,107
298,107
299,108
300,110
301,110
302,110
303,110
304,110
305,110
306,111
307,111
308,111
309,112
310,114
311,114
312,115
313,115
314,115
315,115
316,116
317,116
318,116
319,117
320,119
321,119
322,120
323,120
324,120
325,120
326,121
327,121
328,121
329,122
330,124
331,124
332,125
333,125
334,125
335,125
336,126
337,126
338,126
339,127
340,129
341,129
342,130
343,130
344,130
345,130
346,131
347,131
348,131
349,132
350,134
351,134
352,135
353,135
354,135
355,135
356,136
357,136
358,136
359,137
360,139
361,139
362,140
363,140
364,140
365,140
366,141
367,141
368,141
369,142
370,143
371,143
372,143
373,143
374,143
375,143
376,144
377,145
378,145
379,146
380,148
381,148
382,148
383,149
384,150
385,150
386,150
387,151
388,151
389,152
390,154
391,154
392,154
393,155
394,155
395,155
396,155
397,156
398,156
399,157
400,159
401,160
402,160
403,161
404,161
405,161
406,161
407,162
408,162
409,163
410,165
411,166
412,166
413,167
414,167
415,167
416,167
417,168
418,168
419,169
420,171
421,172
422,172
423,173
424,173
425,173
426,173
427,174
428,174
429,175
430,178
431,179
432,179
433,180
434,180
435,180
436,180
437,180
438,180
439,180
440,180
441,181
442,181
443,181
444,181
445,181
446,181
447,181
448,181
449,182
450,182
451,183
452,183
453,183
454,185
455,185
456,185
457,185
458,185
459,186
460,186
461,187
462,187
463,187
464,189
465,189
466,189
467,189
468,189
469,190
470,190
471,190
472,190
473,190
474,192
475,192
476,192
477,192
478,192
479,193
480,193
481,193
482,193
483,193
484,195
485,195
486,195
487,195
488,195
489,195
490,195
491,195
492,195
493,195
494,195
495,195
496,195
497,195
498,195
499,195
500,195
501,195
502,195
503,196
504,196
505,196
506,196
507,196
508,197
509,197
510,197
511,197
512,197
513,197
514,197
515,197
516,197
517,197
518,198
519,198
520,198
521,198
522,198
523,198
524,198
525,198
526,198
527,198
528,199
529,199
530,199
531,199
532,199
533,199
534,199
535,199
536,199
537,199
538,199
539,199
540,199
541,199
542,199
543,199
544,199
545,199
546,199
547,199
548,199
549,199
550,199
551,199
552,200
553,200
554,200
555,200
556,200
557,200
558,200
559,200
560,200
561,200
562,201
563,201
564,201
565,201
566,201
567,201
568,201
569,201
570,201
571,201
572,202
573,202
574,202
575,202
576,202
577,202
578,202
579,202
580,202
581,202
582,203
583,203
584,203
585,203
586,203
587,203
588,203
589,203
590,203
591,203
592,204
593,204
594,204
595,204
596,204
597,204
598,204
599,204
600,204
