Density,Truck Ratio,Lane Changing Probability,Slowdown Counts
0.0,0.1,0,0
0.0,0.1,0.3,0
0.0,0.1,0.5,0
0.0,0.3,0,0
0.0,0.3,0.3,0
0.0,0.3,0.5,0
0.0,0.5,0,0
0.0,0.5,0.3,0
0.0,0.5,0.5,0
0.0,0.7,0,0
0.0,0.7,0.3,0
0.0,0.7,0.5,0
0.010101010101010102,0.1,0,0
0.010101010101010102,0.1,0.3,0
0.010101010101010102,0.1,0.5,0
0.010101010101010102,0.3,0,0
0.010101010101010102,0.3,0.3,0
0.010101010101010102,0.3,0.5,0
0.010101010101010102,0.5,0,0
0.010101010101010102,0.5,0.3,0
0.010101010101010102,0.5,0.5,0
0.010101010101010102,0.7,0,0
0.010101010101010102,0.7,0.3,0
0.010101010101010102,0.7,0.5,0
0.020202020202020204,0.1,0,100
0.020202020202020204,0.1,0.3,100
0.020202020202020204,0.1,0.5,15
0.020202020202020204,0.3,0,100
0.020202020202020204,0.3,0.3,100
0.020202020202020204,0.3,0.5,0
0.020202020202020204,0.5,0,0
0.020202020202020204,0.5,0.3,0
0.020202020202020204,0.5,0.5,0
0.020202020202020204,0.7,0,0
0.020202020202020204,0.7,0.3,0
0.020202020202020204,0.7,0.5,0
0.030303030303030304,0.1,0,98
0.030303030303030304,0.1,0.3,100
0.030303030303030304,0.1,0.5,100
0.030303030303030304,0.3,0,98
0.030303030303030304,0.3,0.3,100
0.030303030303030304,0.3,0.5,12
0.030303030303030304,0.5,0,51
0.030303030303030304,0.5,0.3,100
0.030303030303030304,0.5,0.5,42
0.030303030303030304,0.7,0,100
0.030303030303030304,0.7,0.3,13
0.030303030303030304,0.7,0.5,0
0.04040404040404041,0.1,0,13
0.04040404040404041,0.1,0.3,199
0.04040404040404041,0.1,0.5,3
0.04040404040404041,0.3,0,117
0.04040404040404041,0.3,0.3,108
0.04040404040404041,0.3,0.5,200
0.04040404040404041,0.5,0,43
0.04040404040404041,0.5,0.3,10
0.04040404040404041,0.5,0.5,0
0.04040404040404041,0.7,0,45
0.04040404040404041,0.7,0.3,99
0.04040404040404041,0.7,0.5,0
0.05050505050505051,0.1,0,291
0.05050505050505051,0.1,0.3,271
0.05050505050505051,0.1,0.5,296
0.05050505050505051,0.3,0,107
0.05050505050505051,0.3,0.3,200
0.05050505050505051,0.3,0.5,113
0.05050505050505051,0.5,0,98
0.05050505050505051,0.5,0.3,160
0.05050505050505051,0.5,0.5,0
0.05050505050505051,0.7,0,39
0.05050505050505051,0.7,0.3,13
0.05050505050505051,0.7,0.5,4
0.06060606060606061,0.1,0,218
0.06060606060606061,0.1,0.3,197
0.06060606060606061,0.1,0.5,299
0.06060606060606061,0.3,0,121
0.06060606060606061,0.3,0.3,109
0.06060606060606061,0.3,0.5,300
0.06060606060606061,0.5,0,21
0.06060606060606061,0.5,0.3,147
0.06060606060606061,0.5,0.5,158
0.06060606060606061,0.7,0,199
0.06060606060606061,0.7,0.3,26
0.06060606060606061,0.7,0.5,0
0.07070707070707072,0.1,0,204
0.07070707070707072,0.1,0.3,393
0.07070707070707072,0.1,0.5,398
0.07070707070707072,0.3,0,216
0.07070707070707072,0.3,0.3,162
0.07070707070707072,0.3,0.5,253
0.07070707070707072,0.5,0,103
0.07070707070707072,0.5,0.3,125
0.07070707070707072,0.5,0.5,201
0.07070707070707072,0.7,0,11
0.07070707070707072,0.7,0.3,100
0.07070707070707072,0.7,0.5,6
0.08080808080808081,0.1,0,200
0.08080808080808081,0.1,0.3,392
0.08080808080808081,0.1,0.5,416
0.08080808080808081,0.3,0,399
0.08080808080808081,0.3,0.3,213
0.08080808080808081,0.3,0.5,300
0.08080808080808081,0.5,0,198
0.08080808080808081,0.5,0.3,200
0.08080808080808081,0.5,0.5,209
0.08080808080808081,0.7,0,126
0.08080808080808081,0.7,0.3,106
0.08080808080808081,0.7,0.5,9
0.09090909090909091,0.1,0,494
0.09090909090909091,0.1,0.3,172
0.09090909090909091,0.1,0.5,309
0.09090909090909091,0.3,0,351
0.09090909090909091,0.3,0.3,431
0.09090909090909091,0.3,0.5,310
0.09090909090909091,0.5,0,122
0.09090909090909091,0.5,0.3,296
0.09090909090909091,0.5,0.5,151
0.09090909090909091,0.7,0,210
0.09090909090909091,0.7,0.3,29
0.09090909090909091,0.7,0.5,12
0.10101010101010102,0.1,0,478
0.10101010101010102,0.1,0.3,312
0.10101010101010102,0.1,0.5,424
0.10101010101010102,0.3,0,307
0.10101010101010102,0.3,0.3,400
0.10101010101010102,0.3,0.5,307
0.10101010101010102,0.5,0,172
0.10101010101010102,0.5,0.3,209
0.10101010101010102,0.5,0.5,220
0.10101010101010102,0.7,0,211
0.10101010101010102,0.7,0.3,113
0.10101010101010102,0.7,0.5,313
0.11111111111111112,0.1,0,500
0.11111111111111112,0.1,0.3,443
0.11111111111111112,0.1,0.5,598
0.11111111111111112,0.3,0,298
0.11111111111111112,0.3,0.3,197
0.11111111111111112,0.3,0.5,296
0.11111111111111112,0.5,0,37
0.11111111111111112,0.5,0.3,211
0.11111111111111112,0.5,0.5,305
0.11111111111111112,0.7,0,3
0.11111111111111112,0.7,0.3,0
0.11111111111111112,0.7,0.5,109
0.12121212121212122,0.1,0,532
0.12121212121212122,0.1,0.3,499
0.12121212121212122,0.1,0.5,602
0.12121212121212122,0.3,0,303
0.12121212121212122,0.3,0.3,231
0.12121212121212122,0.3,0.5,427
0.12121212121212122,0.5,0,209
0.12121212121212122,0.5,0.3,305
0.12121212121212122,0.5,0.5,115
0.12121212121212122,0.7,0,139
0.12121212121212122,0.7,0.3,117
0.12121212121212122,0.7,0.5,104
0.13131313131313133,0.1,0,499
0.13131313131313133,0.1,0.3,180
0.13131313131313133,0.1,0.5,493
0.13131313131313133,0.3,0,140
0.13131313131313133,0.3,0.3,310
0.13131313131313133,0.3,0.5,518
0.13131313131313133,0.5,0,224
0.13131313131313133,0.5,0.3,109
0.13131313131313133,0.5,0.5,210
0.13131313131313133,0.7,0,202
0.13131313131313133,0.7,0.3,225
0.13131313131313133,0.7,0.5,103
0.14141414141414144,0.1,0,682
0.14141414141414144,0.1,0.3,796
0.14141414141414144,0.1,0.5,709
0.14141414141414144,0.3,0,428
0.14141414141414144,0.3,0.3,599
0.14141414141414144,0.3,0.5,314
0.14141414141414144,0.5,0,375
0.14141414141414144,0.5,0.3,118
0.14141414141414144,0.5,0.5,298
0.14141414141414144,0.7,0,39
0.14141414141414144,0.7,0.3,16
0.14141414141414144,0.7,0.5,110
0.15151515151515152,0.1,0,693
0.15151515151515152,0.1,0.3,385
0.15151515151515152,0.1,0.5,510
0.15151515151515152,0.3,0,129
0.15151515151515152,0.3,0.3,321
0.15151515151515152,0.3,0.5,492
0.15151515151515152,0.5,0,325
0.15151515151515152,0.5,0.3,311
0.15151515151515152,0.5,0.5,237
0.15151515151515152,0.7,0,113
0.15151515151515152,0.7,0.3,111
0.15151515151515152,0.7,0.5,124
0.16161616161616163,0.1,0,685
0.16161616161616163,0.1,0.3,797
0.16161616161616163,0.1,0.5,690
0.16161616161616163,0.3,0,116
0.16161616161616163,0.3,0.3,492
0.16161616161616163,0.3,0.5,450
0.16161616161616163,0.5,0,224
0.16161616161616163,0.5,0.3,305
0.16161616161616163,0.5,0.5,99
0.16161616161616163,0.7,0,225
0.16161616161616163,0.7,0.3,176
0.16161616161616163,0.7,0.5,302
0.17171717171717174,0.1,0,824
0.17171717171717174,0.1,0.3,886
0.17171717171717174,0.1,0.5,197
0.17171717171717174,0.3,0,727
0.17171717171717174,0.3,0.3,429
0.17171717171717174,0.3,0.5,259
0.17171717171717174,0.5,0,404
0.17171717171717174,0.5,0.3,602
0.17171717171717174,0.5,0.5,403
0.17171717171717174,0.7,0,314
0.17171717171717174,0.7,0.3,217
