Density,Travel Time,Frequency
0.38383838383838387,0,970
0.38383838383838387,80,1
0.38383838383838387,82,2
0.38383838383838387,83,1
0.38383838383838387,84,1
0.38383838383838387,85,2
0.38383838383838387,86,1
0.38383838383838387,87,2
0.38383838383838387,88,2
0.38383838383838387,89,2
0.38383838383838387,90,1
0.38383838383838387,91,1
0.38383838383838387,92,2
0.38383838383838387,93,1
0.38383838383838387,94,2
0.38383838383838387,95,1
0.38383838383838387,96,1
0.38383838383838387,97,2
0.38383838383838387,98,2
0.38383838383838387,99,3
