Density,Waiting Time,Frequency
0.5252525252525253,1,49
0.5252525252525253,2,4
0.5252525252525253,3,4
0.5252525252525253,4,1
0.5252525252525253,5,1
0.5252525252525253,6,1
0.5252525252525253,7,1
0.5252525252525253,8,1
0.5252525252525253,10,2
0.5252525252525253,11,2
0.5252525252525253,12,1
0.5252525252525253,13,1
0.5252525252525253,14,1
0.5252525252525253,15,2
0.5252525252525253,16,2
0.5252525252525253,17,2
0.5252525252525253,67,1
0.5252525252525253,72,3
0.5252525252525253,73,2
0.5252525252525253,74,4
0.5252525252525253,75,9
0.5252525252525253,76,9
0.5252525252525253,77,11
0.5252525252525253,78,13
0.5252525252525253,79,22
0.5252525252525253,80,22
0.5252525252525253,81,20
0.5252525252525253,82,26
0.5252525252525253,83,29
0.5252525252525253,84,38
0.5252525252525253,85,51
0.5252525252525253,86,50
0.5252525252525253,87,46
0.5252525252525253,88,48
0.5252525252525253,89,47
0.5252525252525253,90,42
0.5252525252525253,91,46
0.5252525252525253,92,39
0.5252525252525253,93,47
0.5252525252525253,94,47
0.5252525252525253,95,38
0.5252525252525253,96,54
0.5252525252525253,97,42
0.5252525252525253,98,44
0.5252525252525253,99,35
0.5252525252525253,100,40
