Density,Waiting Time,Frequency
0.6262626262626263,1,59
0.6262626262626263,2,2
0.6262626262626263,69,1
0.6262626262626263,71,1
0.6262626262626263,72,2
0.6262626262626263,73,4
0.6262626262626263,74,4
0.6262626262626263,75,8
0.6262626262626263,76,8
0.6262626262626263,77,9
0.6262626262626263,78,17
0.6262626262626263,79,14
0.6262626262626263,80,18
0.6262626262626263,81,31
0.6262626262626263,82,28
0.6262626262626263,83,31
0.6262626262626263,84,39
0.6262626262626263,85,43
0.6262626262626263,86,46
0.6262626262626263,87,48
0.6262626262626263,88,48
0.6262626262626263,89,45
0.6262626262626263,90,48
0.6262626262626263,91,54
0.6262626262626263,92,34
0.6262626262626263,93,38
0.6262626262626263,94,37
0.6262626262626263,95,49
0.6262626262626263,96,53
0.6262626262626263,97,51
0.6262626262626263,98,50
0.6262626262626263,99,40
0.6262626262626263,100,40
