Density,Travel Time,Frequency
0.8383838383838385,0,820
0.8383838383838385,10,1
0.8383838383838385,11,5
0.8383838383838385,13,3
0.8383838383838385,14,1
0.8383838383838385,15,1
0.8383838383838385,16,1
0.8383838383838385,17,2
0.8383838383838385,18,12
0.8383838383838385,19,5
0.8383838383838385,20,2
0.8383838383838385,21,1
0.8383838383838385,22,1
0.8383838383838385,23,2
0.8383838383838385,24,3
0.8383838383838385,27,1
0.8383838383838385,28,1
0.8383838383838385,30,1
0.8383838383838385,31,1
0.8383838383838385,35,1
0.8383838383838385,36,1
0.8383838383838385,37,1
0.8383838383838385,40,1
0.8383838383838385,43,1
0.8383838383838385,68,4
0.8383838383838385,72,5
0.8383838383838385,76,11
0.8383838383838385,77,9
0.8383838383838385,78,1
0.8383838383838385,79,1
0.8383838383838385,81,1
0.8383838383838385,82,1
0.8383838383838385,83,3
0.8383838383838385,84,2
0.8383838383838385,85,1
0.8383838383838385,86,4
0.8383838383838385,87,5
0.8383838383838385,88,4
0.8383838383838385,89,5
0.8383838383838385,90,3
0.8383838383838385,91,13
0.8383838383838385,92,4
0.8383838383838385,93,3
0.8383838383838385,94,4
0.8383838383838385,95,6
0.8383838383838385,96,7
0.8383838383838385,97,8
0.8383838383838385,98,13
0.8383838383838385,99,8
0.8383838383838385,100,5
