Density,Travel Time,Frequency
0.9191919191919192,0,927
0.9191919191919192,78,1
0.9191919191919192,79,1
0.9191919191919192,80,1
0.9191919191919192,82,3
0.9191919191919192,83,4
0.9191919191919192,84,2
0.9191919191919192,86,3
0.9191919191919192,87,4
0.9191919191919192,88,5
0.9191919191919192,89,4
0.9191919191919192,90,3
0.9191919191919192,91,3
0.9191919191919192,92,9
0.9191919191919192,93,2
0.9191919191919192,94,4
0.9191919191919192,95,4
0.9191919191919192,96,4
0.9191919191919192,97,7
0.9191919191919192,98,3
0.9191919191919192,99,5
0.9191919191919192,100,1
