Density,Travel Time,Frequency
0.6262626262626263,0,849
0.6262626262626263,2,1
0.6262626262626263,3,2
0.6262626262626263,18,3
0.6262626262626263,20,1
0.6262626262626263,21,1
0.6262626262626263,22,1
0.6262626262626263,68,6
0.6262626262626263,79,8
0.6262626262626263,80,6
0.6262626262626263,81,1
0.6262626262626263,82,10
0.6262626262626263,83,1
0.6262626262626263,84,2
0.6262626262626263,85,3
0.6262626262626263,86,3
0.6262626262626263,87,7
0.6262626262626263,88,5
0.6262626262626263,89,5
0.6262626262626263,90,8
0.6262626262626263,91,10
0.6262626262626263,92,4
0.6262626262626263,93,7
0.6262626262626263,94,7
0.6262626262626263,95,10
0.6262626262626263,96,7
0.6262626262626263,97,9
0.6262626262626263,98,7
0.6262626262626263,99,12
0.6262626262626263,100,4
