Density,Travel Time,Frequency
1.0,0,827
1.0,2,4
1.0,4,1
1.0,5,1
1.0,12,5
1.0,13,1
1.0,14,5
1.0,15,1
1.0,16,6
1.0,17,1
1.0,18,9
1.0,21,3
1.0,22,2
1.0,23,1
1.0,24,1
1.0,25,2
1.0,26,2
1.0,27,2
1.0,28,1
1.0,29,1
1.0,30,1
1.0,31,2
1.0,32,1
1.0,33,4
1.0,35,2
1.0,37,1
1.0,38,1
1.0,39,1
1.0,41,1
1.0,79,14
1.0,82,1
1.0,83,2
1.0,84,4
1.0,86,1
1.0,87,1
1.0,88,3
1.0,89,2
1.0,90,9
1.0,91,4
1.0,92,10
1.0,93,4
1.0,94,8
1.0,95,5
1.0,96,10
1.0,97,9
1.0,98,9
1.0,99,7
1.0,100,7
