Density,Travel Time,Frequency
0.18181818181818182,0,959
0.18181818181818182,79,1
0.18181818181818182,80,1
0.18181818181818182,82,2
0.18181818181818182,83,2
0.18181818181818182,84,2
0.18181818181818182,85,1
0.18181818181818182,86,3
0.18181818181818182,87,3
0.18181818181818182,88,2
0.18181818181818182,89,1
0.18181818181818182,90,2
0.18181818181818182,91,2
0.18181818181818182,92,3
0.18181818181818182,94,1
0.18181818181818182,95,3
0.18181818181818182,96,1
0.18181818181818182,97,1
0.18181818181818182,98,5
0.18181818181818182,99,3
0.18181818181818182,100,2
