Density,Travel Time,Frequency
0.8181818181818182,0,790
0.8181818181818182,13,1
0.8181818181818182,15,1
0.8181818181818182,16,3
0.8181818181818182,18,9
0.8181818181818182,20,5
0.8181818181818182,22,5
0.8181818181818182,23,4
0.8181818181818182,24,4
0.8181818181818182,25,4
0.8181818181818182,26,3
0.8181818181818182,27,4
0.8181818181818182,28,4
0.8181818181818182,29,7
0.8181818181818182,30,3
0.8181818181818182,31,3
0.8181818181818182,33,2
0.8181818181818182,34,8
0.8181818181818182,35,2
0.8181818181818182,36,2
0.8181818181818182,37,2
0.8181818181818182,38,2
0.8181818181818182,39,1
0.8181818181818182,77,8
0.8181818181818182,78,1
0.8181818181818182,79,6
0.8181818181818182,81,1
0.8181818181818182,82,13
0.8181818181818182,85,9
0.8181818181818182,86,4
0.8181818181818182,87,7
0.8181818181818182,88,3
0.8181818181818182,89,5
0.8181818181818182,90,6
0.8181818181818182,91,3
0.8181818181818182,92,5
0.8181818181818182,93,11
0.8181818181818182,94,13
0.8181818181818182,95,5
0.8181818181818182,96,7
0.8181818181818182,97,4
0.8181818181818182,98,8
0.8181818181818182,99,7
0.8181818181818182,100,5
