Density,Waiting Time,Frequency
0.9393939393939394,1,65
0.9393939393939394,2,2
0.9393939393939394,3,1
0.9393939393939394,67,1
0.9393939393939394,69,1
0.9393939393939394,72,4
0.9393939393939394,73,1
0.9393939393939394,74,5
0.9393939393939394,75,10
0.9393939393939394,76,12
0.9393939393939394,77,13
0.9393939393939394,78,14
0.9393939393939394,79,18
0.9393939393939394,80,23
0.9393939393939394,81,32
0.9393939393939394,82,27
0.9393939393939394,83,33
0.9393939393939394,84,35
0.9393939393939394,85,48
0.9393939393939394,86,50
0.9393939393939394,87,36
0.9393939393939394,88,42
0.9393939393939394,89,39
0.9393939393939394,90,51
0.9393939393939394,91,48
0.9393939393939394,92,34
0.9393939393939394,93,46
0.9393939393939394,94,39
0.9393939393939394,95,49
0.9393939393939394,96,39
0.9393939393939394,97,46
0.9393939393939394,98,48
0.9393939393939394,99,46
0.9393939393939394,100,42
