Density,Waiting Time,Frequency
0.9797979797979799,1,102
0.9797979797979799,2,8
0.9797979797979799,3,7
0.9797979797979799,4,5
0.9797979797979799,5,2
0.9797979797979799,6,4
0.9797979797979799,7,2
0.9797979797979799,8,2
0.9797979797979799,9,1
0.9797979797979799,11,3
0.9797979797979799,12,2
0.9797979797979799,13,1
0.9797979797979799,14,2
0.9797979797979799,15,1
0.9797979797979799,16,1
0.9797979797979799,17,1
0.9797979797979799,18,2
0.9797979797979799,19,1
0.9797979797979799,20,5
0.9797979797979799,21,3
0.9797979797979799,22,3
0.9797979797979799,23,2
0.9797979797979799,24,1
0.9797979797979799,26,2
0.9797979797979799,29,2
0.9797979797979799,30,2
0.9797979797979799,57,4
0.9797979797979799,58,2
0.9797979797979799,59,10
0.9797979797979799,60,2
0.9797979797979799,61,7
0.9797979797979799,62,5
0.9797979797979799,63,2
0.9797979797979799,64,2
0.9797979797979799,65,1
0.9797979797979799,67,1
0.9797979797979799,69,1
0.9797979797979799,70,1
0.9797979797979799,71,1
0.9797979797979799,73,6
0.9797979797979799,74,7
0.9797979797979799,75,12
0.9797979797979799,76,12
0.9797979797979799,77,12
0.9797979797979799,78,16
0.9797979797979799,79,18
0.9797979797979799,80,20
0.9797979797979799,81,31
0.9797979797979799,82,23
0.9797979797979799,83,28
0.9797979797979799,84,37
0.9797979797979799,85,40
0.9797979797979799,86,37
0.9797979797979799,87,47
0.9797979797979799,88,37
0.9797979797979799,89,48
0.9797979797979799,90,38
0.9797979797979799,91,42
0.9797979797979799,92,32
0.9797979797979799,93,32
0.9797979797979799,94,36
0.9797979797979799,95,32
0.9797979797979799,96,30
0.9797979797979799,97,35
0.9797979797979799,98,23
0.9797979797979799,99,34
0.9797979797979799,100,29
