Density,Waiting Time,Frequency
0.9292929292929294,1,66
0.9292929292929294,2,3
0.9292929292929294,3,2
0.9292929292929294,4,1
0.9292929292929294,10,1
0.9292929292929294,11,1
0.9292929292929294,14,1
0.9292929292929294,15,1
0.9292929292929294,69,1
0.9292929292929294,70,2
0.9292929292929294,71,1
0.9292929292929294,72,5
0.9292929292929294,73,3
0.9292929292929294,74,4
0.9292929292929294,75,8
0.9292929292929294,76,10
0.9292929292929294,77,12
0.9292929292929294,78,10
0.9292929292929294,79,10
0.9292929292929294,80,19
0.9292929292929294,81,15
0.9292929292929294,82,27
0.9292929292929294,83,26
0.9292929292929294,84,46
0.9292929292929294,85,33
0.9292929292929294,86,54
0.9292929292929294,87,50
0.9292929292929294,88,48
0.9292929292929294,89,44
0.9292929292929294,90,47
0.9292929292929294,91,54
0.9292929292929294,92,46
0.9292929292929294,93,44
0.9292929292929294,94,42
0.9292929292929294,95,44
0.9292929292929294,96,48
0.9292929292929294,97,42
0.9292929292929294,98,50
0.9292929292929294,99,35
0.9292929292929294,100,44
