Density,Waiting Time,Frequency
0.8484848484848485,1,40
0.8484848484848485,2,2
0.8484848484848485,3,5
0.8484848484848485,4,4
0.8484848484848485,5,1
0.8484848484848485,6,1
0.8484848484848485,7,1
0.8484848484848485,8,2
0.8484848484848485,9,1
0.8484848484848485,10,2
0.8484848484848485,11,1
0.8484848484848485,12,1
0.8484848484848485,13,1
0.8484848484848485,22,1
0.8484848484848485,24,1
0.8484848484848485,51,7
0.8484848484848485,52,1
0.8484848484848485,53,1
0.8484848484848485,69,1
0.8484848484848485,70,1
0.8484848484848485,71,2
0.8484848484848485,72,7
0.8484848484848485,73,2
0.8484848484848485,74,5
0.8484848484848485,75,5
0.8484848484848485,76,6
0.8484848484848485,77,8
0.8484848484848485,78,11
0.8484848484848485,79,14
0.8484848484848485,80,19
0.8484848484848485,81,18
0.8484848484848485,82,30
0.8484848484848485,83,29
0.8484848484848485,84,36
0.8484848484848485,85,37
0.8484848484848485,86,45
0.8484848484848485,87,47
0.8484848484848485,88,39
0.8484848484848485,89,44
0.8484848484848485,90,56
0.8484848484848485,91,45
0.8484848484848485,92,36
0.8484848484848485,93,45
0.8484848484848485,94,49
0.8484848484848485,95,52
0.8484848484848485,96,48
0.8484848484848485,97,53
0.8484848484848485,98,40
0.8484848484848485,99,51
0.8484848484848485,100,46
